Instance;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;600.3153920173645;60.00344377756119;60.002581030130386;60.00059449672699;60.001631796360016;60.00062248110771;60.010613948106766;60.00084167718887;60.004446774721146;60.001474529504776;60.00334510207176
HFVRP_p14;602.0190668106079;60.00166282057762;60.0260888338089;60.02644029259682;60.00167456269264;60.00135177373886;60.00203928351402;60.00185126066208;60.0014663040638;60.00201657414436;60.002147406339645
C1_2_6;60.0132616519928;60.139151787757875;60.06878550052643;60.03573746681214;60.05376055240631;60.20855708122254;60.100043058395386;60.03935344219208;60.0109762430191;60.05414047241211;60.061507391929624
CVRP_p5;13080.056962966919;60.00568100810051;60.000918716192245;60.002073138952255;60.0164033472538;60.00164392590523;60.000878274440765;60.00224441289902;60.000379770994186;69.05075374245644;60.001754969358444
CVRP_4;601.0725259780884;60.00091037154198;60.00377351897104;60.00565454363823;60.00258180499077;60.00656333565712;60.0074211529323;60.00217425823212;60.00092414021492;60.00077563524246;60.001371920108795
C1_4_1;60.45057129859924;60.26398742198944;60.8791309595108;60.53224358558655;60.85029578208923;61.12578406333923;61.03311655521393;60.79654016494751;60.62910923957825;60.46859033107758;60.83955390453339
C1_6_3;60.01674828529358;60.70029911994934;61.584011459350585;61.38021755218506;61.052261281013486;61.52737567424774;61.80933680534363;70.46595274077521;66.00439953804016;60.00821404457092;60.007188010215756
C1_2_1;60.071744847297666;71.54935989379882;60.1113037109375;60.091287231445314;60.18120634555817;60.097122526168825;60.19067821502686;60.17261941432953;60.114791941642764;60.06242926120758;60.06235589981079
CVRP_p3;60.00039645603725;60.00102990014212;60.00083344323294;60.000474384852815;60.0003399167742;60.00029584339687;60.00055660520281;60.00136126790728;60.00053933688572;60.00058838299343;60.00038065229143
C1_6_2;60.04265348911285;62.6956324338913;61.55916819572449;61.63227274417877;61.434983944892885;62.49437882900238;61.83133499622345;62.35667078495025;63.57416594028473;60.0457046508789;60.037541365623476
C1_4_4;60.30288500785828;60.50862989425659;60.67231156826019;61.93187265396118;60.95824139118194;60.6131148815155;60.68281686306;60.76354789733887;61.10101466178894;60.820139861106874;60.48852114677429
CVRP_100;60.00064516067505;60.00029071172079;60.00030133459303;60.00026824739244;60.00068399641249;60.000170946121216;60.000257862938774;60.00050788455539;60.0000581741333;60.00000394715203;103.08584687444899
C1_2_5;60.062573075294495;123.32662785053253;60.12380542755127;60.01530821323395;60.02003700733185;60.10179662704468;60.19429903030395;60.14452705383301;60.03501570224762;60.07291531562805;60.086874055862424
HFVRP_1;600.1503252983093;60.00064039230347;60.00088033080101;60.0017107129097;60.000679314136505;60.00025615096092;60.00085175037384;60.00048986077309;60.00166741013527;60.00054731965065;60.00112473964691
C1_2_4;60.12132143974304;60.08554618358612;60.24862859249115;60.01784694194794;60.10077929496765;60.032420825958255;60.20646870136261;60.06628544330597;60.084135460853574;60.25904633998871;60.06563215255737
C1_6_1;60.07369267940521;60.90521070957184;61.47391648292542;60.6395489692688;60.87262201309204;61.46862196922302;61.05700404644013;61.98263165950775;64.15185663700103;60.02180964946747;60.02208034992218
CVRP_p14;60.00120344758034;60.000678926706314;60.001361429691315;60.00179645419121;60.00161302089691;60.00112548470497;60.00142243504524;60.00156056880951;60.00112456083298;60.00084763765335;60.00138834118843
C1_2_8;60.05722861289978;60.13014943599701;60.11590209007263;60.07086794376373;60.05694527626038;60.08477671146393;60.04610450267792;60.14222474098206;60.14925906658173;60.011942172050475;60.112142539024354
CVRP_1;60.00035796846662;60.00048347881862;60.0026844569615;60.00324467250279;60.00085755756923;60.00045708247593;60.0004323550633;60.005501304353984;60.001462016786846;60.00322069440569;60.00056168011257
HFVRP_p3;7696.0488176345825;60.000724256038666;60.002524465322495;60.002466559410095;60.00070160627365;60.00052919983864;66.37654292583466;60.376097679138184;60.001404762268066;64.5023601949215;68.25280120968819
HFVRP_p5;600.2647972106934;60.0009024143219;60.001908659935;60.00072577595711;60.000703543424606;60.00071766972542;60.00060746073723;60.0005421936512;60.001225024461746;60.000601798295975;60.000485330820084
C1_4_9;60.146127871104646;60.52653932571411;60.71184161731175;61.022648436682566;61.36891116414751;61.20639780589512;60.671447447368074;60.81128965105329;68.35474549021039;60.403202056884766;60.5189927646092
C1_2_7;60.15338240350996;60.03281763621739;60.04881950787136;60.07110268729074;60.02970341273716;60.094409465789795;60.164998292922974;60.03471670831953;60.07797448975699;60.0955034664699;60.01255808557783
C1_4_10;60.051582200186594;60.00190390859331;60.1245595727648;60.533078125544954;60.79957754271371;60.620896441595896;60.78573536872864;60.125812428338186;60.63473098618643;60.36308881214687;60.936321360724314
C1_4_2;131.64045194217138;60.21195295878819;60.2795740536281;60.33509390694754;60.75338428361075;61.02532809121268;60.64423138754709;60.00148705073765;60.13891451699393;60.38448592594692;60.85640893663679
C1_4_5;62.263982840946746;60.12834170886448;61.0800701550075;60.131198917116436;61.253338609422954;61.078120470047;61.27383460317339;61.04737939153399;61.41505364009312;60.79769451277597;60.69687717301505
C1_6_4;60.10548937320709;62.30341601371765;62.2111789782842;61.607285022735596;61.75515282154083;60.85048949718475;61.40233242511749;62.16454541683197;64.24668725331624;60.00997201601664;60.00957067807516
C1_6_5;60.0221133629481;62.22582085927328;62.05175423622131;60.944032390912376;61.721043825149536;61.531571547190346;61.4356042544047;63.23782356580099;62.135437766710915;60.03112864494324;60.017212430636086
C1_4_7;60.32355570793152;60.181811372439064;60.23903580506643;60.704198161760964;60.382732470830284;61.108994444211326;60.59339213371277;60.05346675713857;60.33300050099691;60.89159035682678;60.68011426925659
C1_4_3;60.29624239603678;60.0513219833374;60.909828861554466;60.41364526748657;60.719314654668175;60.85518991947174;61.30127771695455;60.23736683527628;60.41340208053589;60.57624121507009;60.623193184534706
C1_2_3;60.033084313074745;60.09047297636668;60.04285482565562;60.05050277709961;60.07224043210348;60.096228877703346;60.08192765712738;60.05040434996287;60.04451378186544;60.05564991633097;60.18104283014933
C1_4_6;60.10840912659963;60.097593466440834;60.52684259414673;60.42958152294159;60.718380530675255;60.84643518924713;61.21435527006785;60.29695351918539;60.58404036362966;60.67957921822866;60.709419091542564
C1_4_8;60.29640612602234;60.527190637588504;60.40588636398316;60.20510582923889;60.564707326889035;60.62823314666748;60.73359098434448;60.24568977355957;60.475504302978514;61.02803339958191;61.07721261978149
C1_2_10;60.09077401955923;60.037469148635864;60.088918606440224;60.0782964626948;60.15169938405355;60.0800222158432;60.12159442901611;60.12696325778961;60.07743000984192;60.015225410461426;60.081310629844666
C1_2_9;60.02865775426229;60.07613813877106;60.0022322734197;60.02366304397583;60.05628728866577;60.12393665313721;60.06551706790924;60.148601055145264;60.04056187470754;60.09504775206248;60.08393009503683
C1_2_2;60.06838381290436;60.11511210600535;60.22446362177531;60.01620368162791;60.01423207918803;60.11923082669576;60.005510886510216;60.055135567982994;60.08853511015574;60.00926168759664;60.05975683530172
