Instance;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
C1_4_1;19.99873206615448;27.44310486316681;20.418948435783385;27.32510232925415;20.339595437049866;27.902237963676452;26.78367087841034;26.74642174243927;27.244400596618654;19.996279668807983;25.306264543533324;31.1401353597641;27.53753068447113;31.308150196075438;20.364234471321105
C1_2_7;7.472157597541809;6.199238801002503;5.420121574401856;5.663968539237976;7.582533431053162;6.549252510070801;5.299203252792358;6.532619524002075;4.298189640045166;6.424022483825683;5.606783652305603;5.474895858764649;6.292439413070679;6.427143812179565;6.2664776086807255
C1_4_10;34.93053719997406;43.016440463066104;51.330218648910524;40.40201590061188;31.369664216041564;31.517792177200317;21.898736786842345;37.90727500915527;32.78079450130463;40.04714968204498;37.757655549049375;40.915659236907956;40.39639897346497;39.46162304878235;36.585609912872314
C1_4_2;27.934160900115966;37.242530822753906;34.4731582403183;45.12917160987854;48.20240294933319;32.75667827129364;30.579459524154665;24.20111644268036;37.348643112182614;38.80047252178192;27.506474685668945;34.533799624443056;35.12988522052765;34.23862383365631;43.02935650348663
C1_4_9;41.513899421691896;43.73159747123718;42.57906351089478;32.88349182605744;49.903087162971495;33.57550473213196;27.16301929950714;41.89827570915222;32.205050110816956;35.689123678207395;22.91507134437561;36.410523128509524;26.202734851837157;29.912427830696107;44.7870317697525
C1_2_5;5.039337468147278;8.430615878105163;4.871721315383911;5.041165614128113;8.864380192756652;8.853597831726074;5.040426516532898;8.671543383598328;8.553778743743896;4.982821011543274;8.793273615837098;8.41772427558899;5.074700784683228;4.99236261844635;5.119856691360473
C1_2_4;6.999337363243103;10.649611878395081;8.37031922340393;8.297538423538208;8.703362321853637;12.85182852745056;11.557255816459655;6.28901059627533;8.781412482261658;8.254629921913146;9.995194721221925;6.802379441261292;7.921343374252319;8.556952285766602;12.499319481849671
C1_2_8;7.475302457809448;7.027192759513855;5.403782629966736;5.682191681861878;6.900126266479492;6.476513838768005;5.598132061958313;6.5159817934036255;6.373057126998901;5.54644672870636;6.512523603439331;6.56374580860138;5.408780550956726;5.39637451171875;5.411644029617309
C1_4_5;30.160583972930908;31.015361428260803;30.345466327667236;30.022648906707765;30.401061010360717;30.77680399417877;29.774298095703124;30.102127051353456;31.02444236278534;30.280392265319826;30.21848883628845;31.035434508323668;30.078466391563417;30.429519009590148;30.216749596595765
C1_6_1;57.36686770915985;58.29572067260742;55.6694638967514;56.98392605781555;57.2095822095871;58.1938241481781;57.991083693504336;58.27609508037567;56.09249269962311;59.14676558971405;54.234995222091676;57.68839783668518;59.456984519958496;59.84337706565857;60.04508259296417
C1_2_3;9.473981070518494;8.693343687057496;8.907912492752075;8.594267511367798;7.422800898551941;8.013405179977417;7.920053720474243;7.284435415267945;11.53504831790924;8.647155523300171;8.553386354446411;8.52847752571106;9.22924463748932;10.325765490531921;8.491130447387695
C1_6_3;60.00515930652618;59.979191946983335;60.00406205654144;59.77879269123078;58.9270859003067;59.67658658027649;58.78501570224762;59.99278893470764;60.003508996963504;59.835177421569824;59.91335492134094;59.13571197986603;60.004571199417114;60.003710341453555;59.97876763343811
C1_2_10;7.599192667007446;4.457383561134338;7.942888689041138;10.389582395553589;7.716794729232788;8.903506898880005;8.096059107780457;7.966059780120849;9.594445753097535;9.12935266494751;7.000060057640075;10.200273394584656;5.677295875549317;5.985133814811706;7.783699631690979
C1_2_9;5.663304495811462;6.923898673057556;7.991384506225586;7.703647351264953;6.973127055168152;5.492297911643982;8.167056655883789;8.293225193023682;7.585990715026855;8.297828102111817;8.276433205604553;7.957273483276367;6.890683007240296;8.27842173576355;7.855582761764526
C1_2_6;7.72306969165802;4.95324387550354;9.119894003868103;9.075193333625794;5.765318918228149;6.918926095962524;4.419275331497192;7.025258016586304;4.329221224784851;6.415028047561646;5.7835331678390505;4.153831052780151;4.327256059646606;6.375515389442444;7.6400004625320435
C1_4_6;29.20756413936615;26.087967824935912;26.26744146347046;23.94072551727295;31.887459540367125;28.06631484031677;23.32287018299103;24.373309707641603;29.331119537353516;41.08203060626984;32.473213124275205;32.41279149055481;33.06729326248169;30.043861532211302;33.10855779647827
C1_4_4;30.532084894180297;29.13300495147705;28.1046183347702;41.26715326309204;43.12614469528198;56.043526196479796;26.8338981628418;33.886454010009764;36.37403416633606;55.876719331741334;38.24774851799011;25.250830602645873;44.51792969703674;34.8274384021759;34.46543643474579
C1_2_2;5.039079928398133;6.8379968166351315;6.694455504417419;8.943564438819886;4.54275484085083;6.814776349067688;5.704056668281555;6.884569096565246;6.835000228881836;6.425025629997253;7.831248092651367;7.714414525032043;5.509713125228882;5.776494193077087;8.051864075660706
C1_6_5;59.51076788902283;59.975529479980466;59.403026413917544;59.298726487159726;59.06806421279907;59.59145061969757;60.04782807826996;58.29879519939423;58.81058552265167;58.38313307762146;59.19979329109192;58.36264326572418;59.4215247631073;59.33342545032501;59.365606617927554
C1_2_1;6.058526563644409;4.536322093009948;5.8167339086532595;6.962233304977417;5.5386724948883055;4.97206597328186;6.350566625595093;4.523906564712524;6.085413718223572;6.452515435218811;5.375303936004639;4.905275464057922;5.891045475006104;5.693114829063416;7.021106386184693
C1_4_3;27.454111337661743;37.12052688598633;39.383077430725095;29.35733754634857;40.18431384563446;43.08823533058167;27.069996333122255;32.32067880630493;38.80180857181549;34.69144442081451;42.05471622943878;37.65320119857788;29.319021153450013;43.56572647094727;36.857090902328494
C1_6_2;59.98738617897034;60.0051593542099;59.26027412414551;59.82210905551911;59.727637839317325;59.9215231180191;60.005398464202884;59.88177955150604;60.00355589389801;60.00422081947327;60.003177070617674;59.63847787380219;59.920370078086854;59.836203479766844;60.003488421440125
C1_4_7;25.472411894798277;29.191690278053283;24.58937795162201;24.57467007637024;27.33229069709778;23.289978861808777;28.64611530303955;34.42128734588623;42.68549156188965;26.180168795585633;25.500317168235778;24.787906050682068;23.198627042770386;24.794323372840882;36.296726965904234
C1_6_4;58.96092369556427;59.179234218597415;60.004326057434085;58.41244108676911;60.003804206848145;59.96442239284515;59.4172664642334;59.81728656291962;59.44038627147675;59.965176463127136;59.64791581630707;59.77358570098877;60.00413384437561;60.00611615180969;59.98198902606964
C1_4_8;39.3721602678299;43.59020168781281;34.5426362991333;28.98956470489502;26.833041977882385;35.32724504470825;34.468452548980714;29.67796540260315;36.252115559577945;36.130394434928895;51.60951223373413;28.91798119544983;43.1341671705246;27.28724777698517;40.73026659488678
